143,testnow,1,12:05:16:140,2021-03-10
144,testnow,2,12:05:16:203,2021-03-10
144,testnow,1,12:05:16:203,2021-03-10
145,testnow,1,12:05:16:268,2021-03-10
145,testnow,2,12:05:16:268,2021-03-10
146,testnow,1,12:05:16:336,2021-03-10
146,testnow,2,12:05:16:336,2021-03-10
147,testnow,2,12:05:16:406,2021-03-10
147,testnow,1,12:05:16:434,2021-03-10
148,testnow,1,12:05:16:473,2021-03-10
148,testnow,2,12:05:16:473,2021-03-10
149,testnow,1,12:05:16:542,2021-03-10
149,testnow,2,12:05:16:567,2021-03-10
150,testnow,2,12:05:16:608,2021-03-10
150,testnow,1,12:05:16:636,2021-03-10
151,testnow,2,12:05:16:672,2021-03-10
151,testnow,1,12:05:16:699,2021-03-10
152,testnow,1,12:05:16:741,2021-03-10
152,testnow,2,12:05:16:769,2021-03-10
153,testnow,1,12:05:16:820,2021-03-10
153,testnow,2,12:05:16:820,2021-03-10
154,testnow,1,12:05:16:874,2021-03-10
154,testnow,2,12:05:16:874,2021-03-10
155,testnow,1,12:05:16:942,2021-03-10
155,testnow,2,12:05:16:942,2021-03-10
156,testnow,1,12:05:17:002,2021-03-10
156,testnow,2,12:05:17:002,2021-03-10
157,testnow,1,12:05:17:077,2021-03-10
157,testnow,2,12:05:17:077,2021-03-10
158,testnow,2,12:05:17:136,2021-03-10
158,testnow,1,12:05:17:136,2021-03-10
159,testnow,2,12:05:17:208,2021-03-10
159,testnow,1,12:05:17:208,2021-03-10
160,testnow,1,12:05:17:271,2021-03-10
160,testnow,2,12:05:17:271,2021-03-10
161,testnow,2,12:05:17:351,2021-03-10
161,testnow,1,12:05:17:374,2021-03-10
162,testnow,1,12:05:17:405,2021-03-10
162,testnow,2,12:05:17:405,2021-03-10
163,testnow,2,12:05:17:474,2021-03-10
163,testnow,1,12:05:17:474,2021-03-10
164,testnow,1,12:05:17:538,2021-03-10
164,testnow,2,12:05:17:538,2021-03-10
165,testnow,1,12:05:17:608,2021-03-10
165,testnow,2,12:05:17:608,2021-03-10
166,testnow,2,12:05:17:678,2021-03-10
166,testnow,1,12:05:17:678,2021-03-10
167,testnow,2,12:05:17:744,2021-03-10
167,testnow,1,12:05:17:773,2021-03-10
168,testnow,1,12:05:17:822,2021-03-10
168,testnow,2,12:05:17:822,2021-03-10
169,testnow,2,12:05:17:875,2021-03-10
169,testnow,1,12:05:17:875,2021-03-10
170,testnow,1,12:05:17:958,2021-03-10
170,testnow,2,12:05:17:958,2021-03-10
171,testnow,2,12:05:18:006,2021-03-10
171,testnow,1,12:05:18:008,2021-03-10
172,testnow,1,12:05:18:088,2021-03-10
172,testnow,2,12:05:18:088,2021-03-10
173,testnow,1,12:05:18:139,2021-03-10
173,testnow,2,12:05:18:139,2021-03-10
174,testnow,2,12:05:18:211,2021-03-10
174,testnow,1,12:05:18:234,2021-03-10
175,testnow,2,12:05:18:292,2021-03-10
175,testnow,1,12:05:18:316,2021-03-10
176,testnow,1,12:05:18:342,2021-03-10
176,testnow,2,12:05:18:342,2021-03-10
177,testnow,1,12:05:18:418,2021-03-10
177,testnow,2,12:05:18:418,2021-03-10
178,testnow,1,12:05:18:484,2021-03-10
178,testnow,2,12:05:18:484,2021-03-10
179,testnow,1,12:05:18:550,2021-03-10
179,testnow,2,12:05:18:550,2021-03-10
180,testnow,2,12:05:18:611,2021-03-10
180,testnow,1,12:05:18:611,2021-03-10
181,testnow,1,12:05:18:678,2021-03-10
181,testnow,2,12:05:18:678,2021-03-10
182,testnow,1,12:05:18:745,2021-03-10
182,testnow,2,12:05:18:771,2021-03-10
183,testnow,1,12:05:18:813,2021-03-10
183,testnow,2,12:05:18:841,2021-03-10
184,testnow,2,12:05:18:878,2021-03-10
184,testnow,1,12:05:18:911,2021-03-10
185,testnow,1,12:05:18:946,2021-03-10
185,testnow,2,12:05:18:946,2021-03-10
186,testnow,1,12:05:19:012,2021-03-10
186,testnow,2,12:05:19:012,2021-03-10
187,testnow,2,12:05:19:079,2021-03-10
187,testnow,1,12:05:19:079,2021-03-10
188,testnow,1,12:05:19:147,2021-03-10
188,testnow,2,12:05:19:147,2021-03-10
189,testnow,1,12:05:19:213,2021-03-10
189,testnow,2,12:05:19:213,2021-03-10
190,testnow,1,12:05:19:279,2021-03-10
190,testnow,2,12:05:19:279,2021-03-10
191,testnow,2,12:05:19:348,2021-03-10
191,testnow,1,12:05:19:348,2021-03-10
192,testnow,1,12:05:19:414,2021-03-10
192,testnow,2,12:05:19:441,2021-03-10
193,testnow,1,12:05:19:481,2021-03-10
193,testnow,2,12:05:19:507,2021-03-10
194,testnow,1,12:05:19:558,2021-03-10
194,testnow,2,12:05:19:558,2021-03-10
195,testnow,2,12:05:19:608,2021-03-10
195,testnow,1,12:05:19:608,2021-03-10
196,testnow,1,12:05:19:689,2021-03-10
196,testnow,2,12:05:19:689,2021-03-10
197,testnow,2,12:05:19:744,2021-03-10
197,testnow,1,12:05:19:744,2021-03-10
198,testnow,1,12:05:19:827,2021-03-10
198,testnow,2,12:05:19:827,2021-03-10
199,testnow,1,12:05:19:873,2021-03-10
199,testnow,2,12:05:19:902,2021-03-10
200,testnow,2,12:05:19:962,2021-03-10
200,testnow,1,12:05:19:962,2021-03-10
201,testnow,1,12:05:20:016,2021-03-10
201,testnow,2,12:05:20:016,2021-03-10
202,testnow,2,12:05:20:082,2021-03-10
202,testnow,1,12:05:20:107,2021-03-10
203,testnow,2,12:05:20:148,2021-03-10
203,testnow,1,12:05:20:176,2021-03-10
204,testnow,2,12:05:20:216,2021-03-10
204,testnow,1,12:05:20:216,2021-03-10
205,testnow,1,12:05:20:283,2021-03-10
205,testnow,2,12:05:20:283,2021-03-10
206,testnow,2,12:05:20:350,2021-03-10
206,testnow,1,12:05:20:350,2021-03-10
207,testnow,1,12:05:20:419,2021-03-10
207,testnow,2,12:05:20:419,2021-03-10
208,testnow,2,12:05:20:480,2021-03-10
208,testnow,1,12:05:20:480,2021-03-10
209,testnow,1,12:05:20:550,2021-03-10
209,testnow,2,12:05:20:575,2021-03-10
210,testnow,2,12:05:20:617,2021-03-10
210,testnow,1,12:05:20:617,2021-03-10
211,testnow,2,12:05:20:684,2021-03-10
211,testnow,1,12:05:20:684,2021-03-10
212,testnow,1,12:05:20:751,2021-03-10
212,testnow,2,12:05:20:775,2021-03-10
213,testnow,1,12:05:20:818,2021-03-10
213,testnow,2,12:05:20:843,2021-03-10
214,testnow,2,12:05:20:887,2021-03-10
214,testnow,1,12:05:20:887,2021-03-10
215,testnow,2,12:05:20:960,2021-03-10
215,testnow,1,12:05:20:982,2021-03-10
216,testnow,1,12:05:21:021,2021-03-10
216,testnow,2,12:05:21:044,2021-03-10
217,testnow,2,12:05:21:082,2021-03-10
217,testnow,1,12:05:21:082,2021-03-10
218,testnow,2,12:05:21:162,2021-03-10
218,testnow,1,12:05:21:186,2021-03-10
219,testnow,1,12:05:21:215,2021-03-10
219,testnow,2,12:05:21:215,2021-03-10
220,testnow,2,12:05:21:297,2021-03-10
220,testnow,1,12:05:21:297,2021-03-10
221,testnow,2,12:05:21:352,2021-03-10
221,testnow,1,12:05:21:352,2021-03-10
222,testnow,2,12:05:21:429,2021-03-10
222,testnow,1,12:05:21:429,2021-03-10
223,testnow,2,12:05:21:483,2021-03-10
223,testnow,1,12:05:21:484,2021-03-10
224,testnow,1,12:05:21:552,2021-03-10
224,testnow,2,12:05:21:552,2021-03-10
225,testnow,2,12:05:21:632,2021-03-10
225,testnow,1,12:05:21:657,2021-03-10
226,testnow,2,12:05:21:688,2021-03-10
226,testnow,1,12:05:21:688,2021-03-10
227,testnow,1,12:05:21:768,2021-03-10
227,testnow,2,12:05:21:794,2021-03-10
228,testnow,1,12:05:21:822,2021-03-10
228,testnow,2,12:05:21:822,2021-03-10
229,testnow,1,12:05:21:891,2021-03-10
229,testnow,2,12:05:21:891,2021-03-10
230,testnow,2,12:05:21:952,2021-03-10
230,testnow,1,12:05:21:952,2021-03-10
231,testnow,1,12:05:22:027,2021-03-10
231,testnow,2,12:05:22:027,2021-03-10
232,testnow,2,12:05:22:092,2021-03-10
232,testnow,1,12:05:22:092,2021-03-10
233,testnow,1,12:05:22:152,2021-03-10
233,testnow,2,12:05:22:152,2021-03-10
234,testnow,2,12:05:22:217,2021-03-10
234,testnow,1,12:05:22:217,2021-03-10
235,testnow,2,12:05:22:302,2021-03-10
235,testnow,1,12:05:22:302,2021-03-10
236,testnow,1,12:05:22:356,2021-03-10
236,testnow,2,12:05:22:356,2021-03-10
237,testnow,1,12:05:22:424,2021-03-10
237,testnow,2,12:05:22:449,2021-03-10
